Index,Token,Price
0,BTC,23128.48
1,ETH,1585.33
2,BNB,312.1
3,USDT,1.00010001
4,BUSD,1
5,USDC,0.99998338
6,LTC,94.11
7,XRP,0.4058
8,SOL,23.93
9,LINK,6.955
10,1INCH,0.514
11,AAVE,83
12,ACH,0.01368
13,ACM,2.707
14,ADA,0.3902
15,ADX,0.1807
16,AERGO,0.142
17,AGLD,0.337
18,AKRO,0.00357
19,ALCX,20.6
20,ALGO,0.2414
21,ALICE,1.797
22,ALPACA,0.2887
23,ALPHA,0.1352
24,ALPINE,2.6376
25,AMB,0.01618
26,AMP,0.00459
27,ANC,0.04902
28,ANKR,0.02569
29,ANT,3.197
30,APE,5.872
31,API3,1.601
32,APT,16.7438
33,AR,10.54
34,ARDR,0.08719437
35,ARPA,0.03556
36,ASTR,0.0589
37,ATA,0.144
38,ATOM,13.366
39,AUCTION,5.3
40,AUDIO,0.276
41,AUTO,297
42,AVA,0.665
43,AVAX,19.81
44,AXS,10.9
45,BADGER,3.08
46,BAKE,0.1956
47,BAL,6.682
48,BAND,2.138
49,BAR,4.18
50,BAT,0.2532
51,BCH,133.3
52,BEL,0.555
53,BETA,0.097
54,BETH,1559.77
55,BICO,0.404
56,BIDR,0.00006645
57,BLZ,0.0744
58,BNT,0.426
59,BNX,85.6
60,BOND,4.528
61,BSW,0.2086
62,BTTC,0.00000072
63,BURGER,0.681
64,C98,0.2714
65,CAKE,4.037
66,CELO,0.733
67,CELR,0.01823
68,CFX,0.0546
69,CHESS,0.2221
70,CHR,0.1713
71,CHZ,0.1334
72,CKB,0.00371
73,CLV,0.0715
74,COMP,51.93
75,COS,0.00572
76,COTI,0.0992
77,CRV,1.019
78,CTK,0.805
79,CTSI,0.1473
80,CTXC,0.2142
81,CVP,0.3977
82,CVX,5.872
83,DAI,0.99990001
84,DAR,0.26833
85,DASH,60.26
86,DATA,0.03516
87,DCR,22.75842432
88,DEGO,2.141
89,DENT,0.000938
90,DEXE,2.789
91,DGB,0.01043
92,DIA,0.356
93,DOCK,0.01868
94,DODO,0.134
95,DOGE,0.09613
96,DOT,6.26
97,DREP,0.3569
98,DUSK,0.1546
99,DYDX,3.224
100,EGLD,42.9
101,ELF,0.1768
102,ENJ,0.4578
103,ENS,15.9
104,EOS,1.063
105,EPX,0.000403
106,ERN,2.34
107,ETC,21.68
108,EUR,1.0856
109,FARM,37.1
110,FET,0.2752
111,FIDA,0.4186
112,FIL,5.231
113,FIO,0.0352
114,FIRO,2.081
115,FIS,0.3953
116,FLM,0.09482677
117,FLOW,1.06
118,FLUX,0.903
119,FOR,0.0193
120,FORTH,3.44
121,FRONT,0.2239
122,FTM,0.5371
123,FUN,0.00703887
124,FXS,10.304
125,GAL,2.087
126,GALA,0.05418
127,GAS,2.462
128,GLM,0.2346
129,GLMR,0.4438
130,GMT,0.5515
131,GMX,59.56
132,GNO,114.2114211
133,GRT,0.0888
134,GTC,1.918
135,HARD,0.191
136,HBAR,0.0646
137,HIFI,0.49478149
138,HIGH,3.568
139,HIVE,0.3917
140,HNT,2.656
141,HOOK,2.9662
142,HOT,0.00212
143,ICP,5.87
144,ICX,0.2053
145,IDEX,0.05095
146,ILV,68.11
147,IMX,0.752
148,INJ,3.142
149,IOST,0.00949
150,IOTA,0.2272
151,IOTX,0.02869
152,IQ,0.00617
153,IRIS,0.01780893
154,JASMY,0.005119
155,JOE,0.2104
156,JST,0.02601
157,KAVA,0.952
158,KDA,1.197
159,KEY,0.003631
160,KLAY,0.2061
161,KMD,0.26597752
162,KNC,0.795
163,KP3R,77.7
164,KSM,35.37
165,LAZIO,3.4812
166,LDO,2.199
167,LEVER,0.002327
168,LINA,0.007266
169,LIT,1
170,LOKA,0.7154
171,LOOM,0.0507
172,LPT,7.38
173,LRC,0.3482
174,LSK,0.917
175,LTO,0.0926
176,LUNA,2.0551
177,LUNC,0.00017149
178,MAGIC,1.3275
179,MANA,0.7493
180,MASK,4.341
181,MATIC,1.1095
182,MBL,0.003042
183,MBOX,0.548
184,MC,0.361
185,MDT,0.02879
186,MDX,0.0908
187,MINA,0.847
188,MKR,656
189,MLN,23.53
190,MOB,1.643
191,MOVR,8.39
192,MTL,0.911
193,NEAR,2.329
194,NEBL,1.607
195,NEO,8.18
196,NEXO,0.82
197,NKN,0.1033
198,NMR,16.48
199,NULS,0.2442
200,OCEAN,0.3494
201,OG,2.787
202,OGN,0.1257
203,OM,0.0364
204,OMG,1.401
205,ONE,0.02258
206,ONG,0.2937317
207,ONT,0.2071
208,OOKI,0.00387
209,OP,2.166
210,ORN,0.943
211,OSMO,0.976
212,OXT,0.0961
213,PAXG,1898
214,PEOPLE,0.02961
215,PERP,0.70688
216,PHA,0.154
217,PHB,0.9575
218,PLA,0.227
219,PNT,0.17031703
220,POLS,0.454
221,POLYX,0.1826
222,POND,0.01032
223,PORTO,3.031
224,POWR,0.1722
225,PROM,4.71
226,PROS,0.6247
227,PSG,6.41
228,PUNDIX,0.451
229,PYR,3.91
230,QI,0.00877
231,QNT,142
232,QTUM,2.694
233,QUICK,60.2
234,RAD,1.889
235,RARE,0.1491
236,REEF,0.003211
237,REI,0.0288
238,REN,0.083255
239,REQ,0.1087
240,RLC,1.72931645
241,RNDR,1.413
242,ROSE,0.05335
243,RPL,38.26
244,RSR,0.004238
245,RUNE,1.767
246,RVN,0.02822
247,SAND,0.73
248,SANTOS,5.75
249,SC,0.00308
250,SFP,0.5758
251,SHIB,0.00001181
252,SKL,0.03467
253,SLP,0.00305
254,SNM,0.9919
255,SNX,2.303
256,SPELL,0.0007916
257,STG,0.6102
258,STMX,0.005457
259,STORJ,0.3605
260,STPT,0.04018
261,STRAX,0.562
262,STX,0.276
263,SUN,0.00597
264,SUPER,0.1231
265,SUSHI,1.265
266,SXP,0.2834
267,SYS,0.1629
268,T,0.04964
269,TFUEL,0.0548
270,THETA,1.025
271,TKO,0.3367
272,TLM,0.02126
273,TOMO,0.375
274,TRB,15.47
275,TROY,0.003032
276,TRU,0.0395497
277,TRX,0.06219
278,TVK,0.0444
279,TWT,1.6602
280,UMA,2.043
281,UNFI,5.575
282,UNI,6.559
283,USTC,0.02487
284,UTK,0.0976
285,VET,0.02313
286,VIB,0.09038
287,VITE,0.02402
288,VOXEL,0.2905
289,VTHO,0.00112811
290,WAN,0.21275129
291,WAVES,2.48
292,WAXP,0.0676
293,WIN,0.0000914
294,WING,7.63
295,WNXM,16.92169217
296,WOO,0.1797
297,WRX,0.1932
298,WTC,0.23151608
299,XEC,0.0000358
300,XEM,0.0370037
301,XLM,0.0907
302,XMR,177.6
303,XTZ,1.057
304,XVG,0.0031
305,XVS,5.17
306,YFI,7229
307,YGG,0.3047
308,ZEC,45.2
309,ZEN,10.12
310,ZIL,0.02693
311,ZRX,0.2164